Size,formula,normalized,normalizedSize
9,!(Diamond(Box((Box(u) <-> (z <-> q))))),((Box((Box((((Box(u) --> (((z --> q) --> ((q --> z) --> ⊥)) --> ⊥)) --> (((((z --> q) --> ((q --> z) --> ⊥)) --> ⊥) --> Box(u)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),41
9,(Box(!((t && p))) || !(Box(r))),((Box((((t --> (p --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (Box(r) --> ⊥)),17
9,((Diamond(!(⊥)) --> Diamond(y)) --> Diamond(⊥)),(((Box(((⊥ --> ⊥) --> ⊥)) --> ⊥) --> (Box((y --> ⊥)) --> ⊥)) --> (Box((⊥ --> ⊥)) --> ⊥)),22
9,((Diamond((s || p)) || Diamond(x)) || y),(((((Box((((s --> ⊥) --> p) --> ⊥)) --> ⊥) --> ⊥) --> (Box((x --> ⊥)) --> ⊥)) --> ⊥) --> y),23
9,(!(Diamond(Box(q))) && Diamond((z <-> ⊥))),((((Box((Box(q) --> ⊥)) --> ⊥) --> ⊥) --> ((Box(((((z --> ⊥) --> ((⊥ --> z) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),30
9,!(Diamond(((!(y) || s) || !(⊥)))),((Box(((((((y --> ⊥) --> ⊥) --> s) --> ⊥) --> (⊥ --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),20
9,!(!((!(⊥) --> (z && Box(s))))),((((⊥ --> ⊥) --> ((z --> (Box(s) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),16
9,(!(!(⊥)) || Diamond((!(w) <-> r))),((((⊥ --> ⊥) --> ⊥) --> ⊥) --> (Box((((((w --> ⊥) --> r) --> ((r --> (w --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),28
9,(((s <-> ⊥) --> s) --> (p --> w)),(((((s --> ⊥) --> ((⊥ --> s) --> ⊥)) --> ⊥) --> s) --> (p --> w)),17
9,(Diamond(Box(y)) --> ((p || ⊥) || t)),((Box((Box(y) --> ⊥)) --> ⊥) --> ((((p --> ⊥) --> ⊥) --> ⊥) --> t)),17
9,(Diamond((!(Diamond(p)) <-> u)) || Diamond(u)),(((Box(((((((Box((p --> ⊥)) --> ⊥) --> ⊥) --> u) --> ((u --> ((Box((p --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> (Box((u --> ⊥)) --> ⊥)),39
9,(v --> (Box(Diamond(Diamond(⊥))) || !(r))),(v --> ((Box((Box(((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> (r --> ⊥))),20
9,(!((!(s) --> (q || v))) || v),(((((s --> ⊥) --> ((q --> ⊥) --> v)) --> ⊥) --> ⊥) --> v),15
9,(Diamond(p) --> !(Box((Box(v) || y)))),((Box((p --> ⊥)) --> ⊥) --> (Box(((Box(v) --> ⊥) --> y)) --> ⊥)),16
9,(x --> (Diamond(Box(Diamond(u))) --> Box(y))),(x --> ((Box((Box((Box((u --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> Box(y))),17
9,(((v && s) || (⊥ --> x)) --> x),(((((v --> (s --> ⊥)) --> ⊥) --> ⊥) --> (⊥ --> x)) --> x),15
9,(!(q) --> !((p || !(!(⊥))))),((q --> ⊥) --> (((p --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥)),15
9,(!((!(s) --> Diamond(t))) --> !(t)),((((s --> ⊥) --> (Box((t --> ⊥)) --> ⊥)) --> ⊥) --> (t --> ⊥)),16
9,(!(Box(s)) || Box((t --> !(x)))),(((Box(s) --> ⊥) --> ⊥) --> Box((t --> (x --> ⊥)))),13
9,(Box(p) --> (Diamond(w) && (⊥ --> p))),(Box(p) --> (((Box((w --> ⊥)) --> ⊥) --> ((⊥ --> p) --> ⊥)) --> ⊥)),17
9,((p || !(x)) && (Box(q) --> y)),((((p --> ⊥) --> (x --> ⊥)) --> ((Box(q) --> y) --> ⊥)) --> ⊥),16
9,(p && Diamond((p || !((z || ⊥))))),((p --> ((Box((((p --> ⊥) --> (((z --> ⊥) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),22
9,Box(Diamond(((⊥ <-> !(w)) <-> Box(⊥)))),Box((Box((((((((⊥ --> (w --> ⊥)) --> (((w --> ⊥) --> ⊥) --> ⊥)) --> ⊥) --> Box(⊥)) --> ((Box(⊥) --> (((⊥ --> (w --> ⊥)) --> (((w --> ⊥) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),47
9,((Diamond(y) --> q) --> (z || !(x))),(((Box((y --> ⊥)) --> ⊥) --> q) --> ((z --> ⊥) --> (x --> ⊥))),16
9,Diamond(((!(t) <-> Diamond(s)) <-> Diamond(⊥))),(Box(((((((((t --> ⊥) --> (Box((s --> ⊥)) --> ⊥)) --> (((Box((s --> ⊥)) --> ⊥) --> (t --> ⊥)) --> ⊥)) --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)) --> (((Box((⊥ --> ⊥)) --> ⊥) --> ((((t --> ⊥) --> (Box((s --> ⊥)) --> ⊥)) --> (((Box((s --> ⊥)) --> ⊥) --> (t --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),74
9,!((Diamond(!((p --> t))) --> Diamond(z))),(((Box((((p --> t) --> ⊥) --> ⊥)) --> ⊥) --> (Box((z --> ⊥)) --> ⊥)) --> ⊥),19
9,(Box(Box((w --> r))) || (u --> x)),((Box(Box((w --> r))) --> ⊥) --> (u --> x)),11
9,(Diamond((Diamond(!(t)) && !(u))) || ⊥),(((Box(((((Box(((t --> ⊥) --> ⊥)) --> ⊥) --> ((u --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥),25
9,(w --> ((!(u) --> x) --> Diamond(p))),(w --> (((u --> ⊥) --> x) --> (Box((p --> ⊥)) --> ⊥))),14
9,!(!(Diamond((!(s) || !(Diamond(s)))))),(((Box(((((s --> ⊥) --> ⊥) --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> ⊥),23
9,((w --> ⊥) && !(Box((u --> p)))),(((w --> ⊥) --> ((Box((u --> p)) --> ⊥) --> ⊥)) --> ⊥),14
9,((!(u) --> Box(x)) --> (v || s)),(((u --> ⊥) --> Box(x)) --> ((v --> ⊥) --> s)),12
9,(!(Box((s --> (u --> x)))) && x),(((Box((s --> (u --> x))) --> ⊥) --> (x --> ⊥)) --> ⊥),14
9,!((Diamond((⊥ && (⊥ || ⊥))) --> s)),(((Box((((⊥ --> (((⊥ --> ⊥) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> s) --> ⊥),20
9,Diamond(!((Diamond(w) --> (y && Diamond(w))))),(Box(((((Box((w --> ⊥)) --> ⊥) --> ((y --> ((Box((w --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),26
9,Diamond((!((t && ⊥)) <-> (y <-> u))),(Box((((((((t --> (⊥ --> ⊥)) --> ⊥) --> ⊥) --> (((y --> u) --> ((u --> y) --> ⊥)) --> ⊥)) --> (((((y --> u) --> ((u --> y) --> ⊥)) --> ⊥) --> (((t --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),52
9,Diamond((p && (y --> (⊥ || !(⊥))))),(Box((((p --> ((y --> ((⊥ --> ⊥) --> (⊥ --> ⊥))) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),20
9,,,-1
10,(Box((u <-> Diamond(x))) <-> (Box(v) <-> r)),(((Box((((u --> (Box((x --> ⊥)) --> ⊥)) --> (((Box((x --> ⊥)) --> ⊥) --> u) --> ⊥)) --> ⊥)) --> (((Box(v) --> r) --> ((r --> Box(v)) --> ⊥)) --> ⊥)) --> (((((Box(v) --> r) --> ((r --> Box(v)) --> ⊥)) --> ⊥) --> Box((((u --> (Box((x --> ⊥)) --> ⊥)) --> (((Box((x --> ⊥)) --> ⊥) --> u) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥),77
10,((Diamond(w) <-> !(w)) <-> !(!(Diamond(x)))),(((((((Box((w --> ⊥)) --> ⊥) --> (w --> ⊥)) --> (((w --> ⊥) --> (Box((w --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> (((Box((x --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> (((((Box((x --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> ((((Box((w --> ⊥)) --> ⊥) --> (w --> ⊥)) --> (((w --> ⊥) --> (Box((w --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),77
10,((Diamond(Diamond((p && u))) <-> t) <-> !(r)),(((((((Box(((Box((((p --> (u --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> t) --> ((t --> (Box(((Box((((p --> (u --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> (r --> ⊥)) --> (((r --> ⊥) --> ((((Box(((Box((((p --> (u --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> t) --> ((t --> (Box(((Box((((p --> (u --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),99
10,(p <-> ((y <-> Diamond(r)) && (t || p))),(((p --> (((((y --> (Box((r --> ⊥)) --> ⊥)) --> (((Box((r --> ⊥)) --> ⊥) --> y) --> ⊥)) --> ⊥) --> (((t --> ⊥) --> p) --> ⊥)) --> ⊥)) --> (((((((y --> (Box((r --> ⊥)) --> ⊥)) --> (((Box((r --> ⊥)) --> ⊥) --> y) --> ⊥)) --> ⊥) --> (((t --> ⊥) --> p) --> ⊥)) --> ⊥) --> p) --> ⊥)) --> ⊥),71
10,(((Box(t) || v) <-> (y <-> z)) || u),(((((((Box(t) --> ⊥) --> v) --> (((y --> z) --> ((z --> y) --> ⊥)) --> ⊥)) --> (((((y --> z) --> ((z --> y) --> ⊥)) --> ⊥) --> ((Box(t) --> ⊥) --> v)) --> ⊥)) --> ⊥) --> ⊥) --> u),45
10,(Diamond(w) <-> (⊥ && (z <-> (x || q)))),((((Box((w --> ⊥)) --> ⊥) --> ((⊥ --> ((((z --> ((x --> ⊥) --> q)) --> ((((x --> ⊥) --> q) --> z) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ((((⊥ --> ((((z --> ((x --> ⊥) --> q)) --> ((((x --> ⊥) --> q) --> z) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (Box((w --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),69
10,(Diamond(y) --> (t <-> Diamond(Diamond((t --> w))))),((Box((y --> ⊥)) --> ⊥) --> (((t --> (Box(((Box(((t --> w) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((Box(((t --> w) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> t) --> ⊥)) --> ⊥)),42
10,(!(x) && !(((r && p) <-> Box(w)))),(((x --> ⊥) --> (((((((r --> (p --> ⊥)) --> ⊥) --> Box(w)) --> ((Box(w) --> ((r --> (p --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),35
10,((Diamond(w) <-> Diamond(r)) || Diamond((⊥ || q))),((((((Box((w --> ⊥)) --> ⊥) --> (Box((r --> ⊥)) --> ⊥)) --> (((Box((r --> ⊥)) --> ⊥) --> (Box((w --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (Box((((⊥ --> ⊥) --> q) --> ⊥)) --> ⊥)),44
10,(Box((s && Box(q))) || (Diamond(x) <-> w)),((Box(((s --> (Box(q) --> ⊥)) --> ⊥)) --> ⊥) --> ((((Box((x --> ⊥)) --> ⊥) --> w) --> ((w --> (Box((x --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)),33
10,(Diamond((Diamond(x) && q)) <-> (!(p) --> z)),((((Box(((((Box((x --> ⊥)) --> ⊥) --> (q --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ((p --> ⊥) --> z)) --> ((((p --> ⊥) --> z) --> (Box(((((Box((x --> ⊥)) --> ⊥) --> (q --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),51
10,((Diamond(!(r)) <-> !(Box(⊥))) --> Diamond(⊥)),(((((Box(((r --> ⊥) --> ⊥)) --> ⊥) --> (Box(⊥) --> ⊥)) --> (((Box(⊥) --> ⊥) --> (Box(((r --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)),38
10,(p <-> (Diamond(!(Box((q && ⊥)))) --> s)),(((p --> ((Box(((Box(((q --> (⊥ --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> s)) --> ((((Box(((Box(((q --> (⊥ --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> s) --> p) --> ⊥)) --> ⊥),43
10,(Diamond(Diamond(Box((t <-> r)))) --> (x && r)),((Box(((Box((Box((((t --> r) --> ((r --> t) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ((x --> (r --> ⊥)) --> ⊥)),30
10,(⊥ && ((w || (s --> Diamond(s))) <-> q)),((⊥ --> ((((((w --> ⊥) --> (s --> (Box((s --> ⊥)) --> ⊥))) --> q) --> ((q --> ((w --> ⊥) --> (s --> (Box((s --> ⊥)) --> ⊥)))) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),39
10,(Diamond(t) && (!((r && z)) <-> Diamond(w))),(((Box((t --> ⊥)) --> ⊥) --> (((((((r --> (z --> ⊥)) --> ⊥) --> ⊥) --> (Box((w --> ⊥)) --> ⊥)) --> (((Box((w --> ⊥)) --> ⊥) --> (((r --> (z --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),48
10,(!(Diamond(((⊥ && t) || !(⊥)))) <-> q),(((((Box((((((⊥ --> (t --> ⊥)) --> ⊥) --> ⊥) --> (⊥ --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> q) --> ((q --> ((Box((((((⊥ --> (t --> ⊥)) --> ⊥) --> ⊥) --> (⊥ --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥),49
10,((x && (q || t)) <-> Box((w || ⊥))),(((((x --> (((q --> ⊥) --> t) --> ⊥)) --> ⊥) --> Box(((w --> ⊥) --> ⊥))) --> ((Box(((w --> ⊥) --> ⊥)) --> ((x --> (((q --> ⊥) --> t) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),41
10,(Diamond(w) --> ((r --> Box(x)) <-> !(v))),((Box((w --> ⊥)) --> ⊥) --> ((((r --> Box(x)) --> (v --> ⊥)) --> (((v --> ⊥) --> (r --> Box(x))) --> ⊥)) --> ⊥)),28
10,((Diamond(s) --> r) <-> !(Box((p && q)))),(((((Box((s --> ⊥)) --> ⊥) --> r) --> (Box(((p --> (q --> ⊥)) --> ⊥)) --> ⊥)) --> (((Box(((p --> (q --> ⊥)) --> ⊥)) --> ⊥) --> ((Box((s --> ⊥)) --> ⊥) --> r)) --> ⊥)) --> ⊥),43
10,Box(((Box(v) && !(⊥)) || (⊥ || u))),Box(((((Box(v) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> ⊥) --> u))),19
10,(Box(q) && (Box(Box(x)) <-> (v <-> z))),((Box(q) --> ((((Box(Box(x)) --> (((v --> z) --> ((z --> v) --> ⊥)) --> ⊥)) --> (((((v --> z) --> ((z --> v) --> ⊥)) --> ⊥) --> Box(Box(x))) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),42
10,(Box(((!(y) && t) <-> !(t))) || z),((Box(((((((y --> ⊥) --> (t --> ⊥)) --> ⊥) --> (t --> ⊥)) --> (((t --> ⊥) --> (((y --> ⊥) --> (t --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> z),36
10,((Box((t --> ⊥)) --> (r <-> ⊥)) <-> r),((((Box((t --> ⊥)) --> (((r --> ⊥) --> ((⊥ --> r) --> ⊥)) --> ⊥)) --> r) --> ((r --> (Box((t --> ⊥)) --> (((r --> ⊥) --> ((⊥ --> r) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥),41
10,Box((!(t) && Box((p --> Diamond(Diamond(x)))))),Box((((t --> ⊥) --> (Box((p --> (Box(((Box((x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥)),23
10,!((Box(!(Box(Box(Diamond(⊥))))) <-> Box(p))),((((Box((Box(Box((Box((⊥ --> ⊥)) --> ⊥))) --> ⊥)) --> Box(p)) --> ((Box(p) --> Box((Box(Box((Box((⊥ --> ⊥)) --> ⊥))) --> ⊥))) --> ⊥)) --> ⊥) --> ⊥),35
10,(!(Diamond(!(((q && w) || t)))) || ⊥),((((Box(((((((q --> (w --> ⊥)) --> ⊥) --> ⊥) --> t) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> ⊥),24
10,(z --> (Diamond(Box(u)) && (p <-> Diamond(⊥)))),(z --> (((Box((Box(u) --> ⊥)) --> ⊥) --> ((((p --> (Box((⊥ --> ⊥)) --> ⊥)) --> (((Box((⊥ --> ⊥)) --> ⊥) --> p) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),35
10,((p --> Diamond(t)) || (v && Box(Diamond(p)))),(((p --> (Box((t --> ⊥)) --> ⊥)) --> ⊥) --> ((v --> (Box((Box((p --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)),24
10,(q <-> Diamond(Box(Box((Diamond(⊥) || Diamond(q)))))),(((q --> (Box((Box(Box((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> (Box((q --> ⊥)) --> ⊥)))) --> ⊥)) --> ⊥)) --> (((Box((Box(Box((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> (Box((q --> ⊥)) --> ⊥)))) --> ⊥)) --> ⊥) --> q) --> ⊥)) --> ⊥),53
10,((v --> !(t)) || !((⊥ <-> Box(t)))),(((v --> (t --> ⊥)) --> ⊥) --> ((((⊥ --> Box(t)) --> ((Box(t) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)),23
10,(y || ((t && Diamond((⊥ <-> r))) || s)),((y --> ⊥) --> ((((t --> ((Box(((((⊥ --> r) --> ((r --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> s)),30
10,!(!((Box(⊥) || ((w && w) && y)))),((((Box(⊥) --> ⊥) --> ((((w --> (w --> ⊥)) --> ⊥) --> (y --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),22
10,((s --> !(q)) && (Diamond(q) --> Diamond(r))),(((s --> (q --> ⊥)) --> (((Box((q --> ⊥)) --> ⊥) --> (Box((r --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),23
10,(Diamond((w && !(s))) || (z --> Box(z))),(((Box((((w --> ((s --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> (z --> Box(z))),21
10,((t || ⊥) && (!(Diamond(w)) || Box(⊥))),((((t --> ⊥) --> ⊥) --> (((((Box((w --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> Box(⊥)) --> ⊥)) --> ⊥),23
10,(!(Diamond(!(y))) --> ((v && t) && w)),(((Box(((y --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((((v --> (t --> ⊥)) --> ⊥) --> (w --> ⊥)) --> ⊥)),24
10,(!((Diamond(q) || ⊥)) && (!(y) --> y)),((((((Box((q --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> ⊥) --> (((y --> ⊥) --> y) --> ⊥)) --> ⊥),22
10,(Box(⊥) || ((r && Box(r)) && Box(w))),((Box(⊥) --> ⊥) --> ((((r --> (Box(r) --> ⊥)) --> ⊥) --> (Box(w) --> ⊥)) --> ⊥)),20
10,((Diamond((y && q)) && Diamond(v)) || !(u)),(((((Box((((y --> (q --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ((Box((v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> (u --> ⊥)),29
10,((Diamond((u || Diamond(⊥))) || Diamond(v)) && ⊥),(((((Box((((u --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (Box((v --> ⊥)) --> ⊥)) --> (⊥ --> ⊥)) --> ⊥),30
10,(((!(v) --> Box(!(v))) && x) || r),((((((v --> ⊥) --> Box((v --> ⊥))) --> (x --> ⊥)) --> ⊥) --> ⊥) --> r),18
10,((Diamond(!(p)) --> !(u)) || (w --> s)),((((Box(((p --> ⊥) --> ⊥)) --> ⊥) --> (u --> ⊥)) --> ⊥) --> (w --> s)),18
10,(v && Diamond((!((v <-> w)) || Diamond(r)))),((v --> ((Box((((((((v --> w) --> ((w --> v) --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> (Box((r --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),33
10,((!(z) --> (q --> ⊥)) --> (r <-> v)),(((z --> ⊥) --> (q --> ⊥)) --> (((r --> v) --> ((v --> r) --> ⊥)) --> ⊥)),19
10,((v --> Box(⊥)) --> Box(!((w && w)))),((v --> Box(⊥)) --> Box((((w --> (w --> ⊥)) --> ⊥) --> ⊥))),15
10,Box(((s --> y) && ((⊥ --> v) || q))),Box((((s --> y) --> ((((⊥ --> v) --> ⊥) --> q) --> ⊥)) --> ⊥)),16
10,(!(Box((Box(!(r)) || t))) || Box(z)),(((Box(((Box((r --> ⊥)) --> ⊥) --> t)) --> ⊥) --> ⊥) --> Box(z)),16
10,(Box(!(Box(Diamond(q)))) && Box((x && ⊥))),((Box((Box((Box((q --> ⊥)) --> ⊥)) --> ⊥)) --> (Box(((x --> (⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),23
10,(Diamond(!(Box(u))) && Box(Box((q --> ⊥)))),(((Box(((Box(u) --> ⊥) --> ⊥)) --> ⊥) --> (Box(Box((q --> ⊥))) --> ⊥)) --> ⊥),19
10,((Box(⊥) || Box(y)) --> (⊥ && !(v))),(((Box(⊥) --> ⊥) --> Box(y)) --> ((⊥ --> ((v --> ⊥) --> ⊥)) --> ⊥)),17
10,(Diamond(((s --> t) --> v)) --> (t || t)),((Box((((s --> t) --> v) --> ⊥)) --> ⊥) --> ((t --> ⊥) --> t)),16
10,(Box(t) && !(Box(((⊥ --> ⊥) <-> p)))),((Box(t) --> ((Box(((((⊥ --> ⊥) --> p) --> ((p --> (⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),25
10,!((v && Box(Diamond(!((Box(⊥) || y)))))),(((v --> (Box((Box(((((Box(⊥) --> ⊥) --> y) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),22
10,(((⊥ --> ⊥) || (⊥ <-> y)) --> !(t)),((((⊥ --> ⊥) --> ⊥) --> (((⊥ --> y) --> ((y --> ⊥) --> ⊥)) --> ⊥)) --> (t --> ⊥)),21
10,!((Box(Box((!(w) --> x))) --> Box(u))),((Box(Box(((w --> ⊥) --> x))) --> Box(u)) --> ⊥),12
10,(!((Box(v) --> ⊥)) --> !((s || x))),(((Box(v) --> ⊥) --> ⊥) --> (((s --> ⊥) --> x) --> ⊥)),14
10,Box(Diamond(Diamond(!((t <-> Box((w || v))))))),Box((Box(((Box((((((t --> Box(((w --> ⊥) --> v))) --> ((Box(((w --> ⊥) --> v)) --> t) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),34
10,!(!(Diamond((!(Box(!(t))) || !(x))))),(((Box(((((Box((t --> ⊥)) --> ⊥) --> ⊥) --> (x --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> ⊥),21
10,(Diamond(Box((!(p) || (s || s)))) || w),(((Box((Box((((p --> ⊥) --> ⊥) --> ((s --> ⊥) --> s))) --> ⊥)) --> ⊥) --> ⊥) --> w),21
10,Diamond(((Diamond(q) && Diamond(t)) <-> (s --> ⊥))),(Box((((((((Box((q --> ⊥)) --> ⊥) --> ((Box((t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (s --> ⊥)) --> (((s --> ⊥) --> (((Box((q --> ⊥)) --> ⊥) --> ((Box((t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),52
10,Diamond((Box(⊥) && (q || Diamond((w && ⊥))))),(Box((((Box(⊥) --> (((q --> ⊥) --> (Box((((w --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),28
10,Diamond((r && (r || (Box(⊥) && !(v))))),(Box((((r --> (((r --> ⊥) --> ((Box(⊥) --> ((v --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),25
10,Diamond(!(((p || Diamond(Box(!(⊥)))) || s))),(Box(((((((p --> ⊥) --> (Box((Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> s) --> ⊥) --> ⊥)) --> ⊥),24
10,Diamond((!(z) || Diamond((Box(⊥) || Diamond(q))))),(Box(((((z --> ⊥) --> ⊥) --> (Box((((Box(⊥) --> ⊥) --> (Box((q --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),27
10,Diamond(Diamond(((v --> ⊥) <-> (t || Diamond(u))))),(Box(((Box((((((v --> ⊥) --> ((t --> ⊥) --> (Box((u --> ⊥)) --> ⊥))) --> ((((t --> ⊥) --> (Box((u --> ⊥)) --> ⊥)) --> (v --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),43
10,(Box(p) --> Diamond(!((Diamond(q) --> Box(q))))),(Box(p) --> (Box(((((Box((q --> ⊥)) --> ⊥) --> Box(q)) --> ⊥) --> ⊥)) --> ⊥)),19
10,Diamond(!(Box(!(Box((Diamond(Box(v)) || r)))))),(Box(((Box((Box((((Box((Box(v) --> ⊥)) --> ⊥) --> ⊥) --> r)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),22
10,Diamond(((Diamond(⊥) <-> q) || (⊥ && !(q)))),(Box((((((((Box((⊥ --> ⊥)) --> ⊥) --> q) --> ((q --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> ((q --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),38
10,Diamond(!(((Diamond(q) || ⊥) --> (w --> r)))),(Box(((((((Box((q --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> (w --> r)) --> ⊥) --> ⊥)) --> ⊥),21
10,!(Box(!((Box(p) --> Diamond((y && x)))))),(Box(((Box(p) --> (Box((((y --> (x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),20
