Size,formula,normalized,normalizedSize
11,(!(⊥) --> Box((Box(⊥) && Diamond((w --> p))))),((⊥ --> ⊥) --> Box(((Box(⊥) --> ((Box(((w --> p) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))),20
11,(t --> (Box((p <-> Box(p))) && (p --> ⊥))),(t --> ((Box((((p --> Box(p)) --> ((Box(p) --> p) --> ⊥)) --> ⊥)) --> ((p --> ⊥) --> ⊥)) --> ⊥)),24
11,(Diamond((((⊥ || s) || s) && t)) --> !(r)),((Box((((((((⊥ --> ⊥) --> s) --> ⊥) --> s) --> (t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (r --> ⊥)),24
11,(Diamond(⊥) <-> Box(!((t || (w --> !(t)))))),((((Box((⊥ --> ⊥)) --> ⊥) --> Box((((t --> ⊥) --> (w --> (t --> ⊥))) --> ⊥))) --> ((Box((((t --> ⊥) --> (w --> (t --> ⊥))) --> ⊥)) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),43
11,((Diamond(s) || (w || !(Diamond(⊥)))) && !(p)),(((((Box((s --> ⊥)) --> ⊥) --> ⊥) --> ((w --> ⊥) --> ((Box((⊥ --> ⊥)) --> ⊥) --> ⊥))) --> ((p --> ⊥) --> ⊥)) --> ⊥),29
11,((r --> (q --> u)) || (q && (⊥ && ⊥))),(((r --> (q --> u)) --> ⊥) --> ((q --> (((⊥ --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),21
11,(((y || (v <-> w)) || (⊥ --> u)) || p),((((((y --> ⊥) --> (((v --> w) --> ((w --> v) --> ⊥)) --> ⊥)) --> ⊥) --> (⊥ --> u)) --> ⊥) --> p),25
11,(Box((!(!(s)) --> (p --> p))) && !(⊥)),((Box((((s --> ⊥) --> ⊥) --> (p --> p))) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥),18
11,((⊥ && (x || q)) --> (s --> (⊥ || t))),(((⊥ --> (((x --> ⊥) --> q) --> ⊥)) --> ⊥) --> (s --> ((⊥ --> ⊥) --> t))),19
11,((⊥ --> ((u || p) --> (u && ⊥))) && ⊥),(((⊥ --> (((u --> ⊥) --> p) --> ((u --> (⊥ --> ⊥)) --> ⊥))) --> (⊥ --> ⊥)) --> ⊥),21
11,(⊥ --> Box((!(v) || (x <-> Diamond(Diamond(t)))))),(⊥ --> Box((((v --> ⊥) --> ⊥) --> (((x --> (Box(((Box((t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((Box((t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> x) --> ⊥)) --> ⊥)))),40
12,(((r <-> (t <-> t)) && x) <-> !((p <-> x))),((((((((r --> (((t --> t) --> ((t --> t) --> ⊥)) --> ⊥)) --> (((((t --> t) --> ((t --> t) --> ⊥)) --> ⊥) --> r) --> ⊥)) --> ⊥) --> (x --> ⊥)) --> ⊥) --> ((((p --> x) --> ((x --> p) --> ⊥)) --> ⊥) --> ⊥)) --> ((((((p --> x) --> ((x --> p) --> ⊥)) --> ⊥) --> ⊥) --> (((((r --> (((t --> t) --> ((t --> t) --> ⊥)) --> ⊥)) --> (((((t --> t) --> ((t --> t) --> ⊥)) --> ⊥) --> r) --> ⊥)) --> ⊥) --> (x --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),107
12,Box((Box(z) || ((!(Box(Diamond(v))) || t) && x))),Box(((Box(z) --> ⊥) --> (((((Box((Box((v --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> t) --> (x --> ⊥)) --> ⊥))),25
12,(((Diamond(q) <-> u) <-> q) --> (!(⊥) && !(w))),((((((((Box((q --> ⊥)) --> ⊥) --> u) --> ((u --> (Box((q --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> q) --> ((q --> ((((Box((q --> ⊥)) --> ⊥) --> u) --> ((u --> (Box((q --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> ((w --> ⊥) --> ⊥)) --> ⊥)),63
12,((!(t) <-> Diamond(Diamond(⊥))) || (⊥ <-> Diamond(Diamond(t)))),((((((t --> ⊥) --> (Box(((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((Box((⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (t --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (((⊥ --> (Box(((Box((t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((Box((t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥)),69
12,(((!(⊥) <-> y) <-> (u && u)) && (u <-> w)),(((((((((⊥ --> ⊥) --> y) --> ((y --> (⊥ --> ⊥)) --> ⊥)) --> ⊥) --> ((u --> (u --> ⊥)) --> ⊥)) --> ((((u --> (u --> ⊥)) --> ⊥) --> ((((⊥ --> ⊥) --> y) --> ((y --> (⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ((((u --> w) --> ((w --> u) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥),67
12,(!((Box((⊥ <-> !(z))) || y)) <-> (s <-> t)),((((((Box((((⊥ --> (z --> ⊥)) --> (((z --> ⊥) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> y) --> ⊥) --> (((s --> t) --> ((t --> s) --> ⊥)) --> ⊥)) --> (((((s --> t) --> ((t --> s) --> ⊥)) --> ⊥) --> (((Box((((⊥ --> (z --> ⊥)) --> (((z --> ⊥) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> y) --> ⊥)) --> ⊥)) --> ⊥),73
12,((Diamond((x <-> s)) && (⊥ || Box(u))) <-> !(s)),((((((Box(((((x --> s) --> ((s --> x) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> Box(u)) --> ⊥)) --> ⊥) --> (s --> ⊥)) --> (((s --> ⊥) --> (((Box(((((x --> s) --> ((s --> x) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> Box(u)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),67
12,!(((((⊥ --> q) || u) || y) <-> Box(!(w)))),(((((((((⊥ --> q) --> ⊥) --> u) --> ⊥) --> y) --> Box((w --> ⊥))) --> ((Box((w --> ⊥)) --> (((((⊥ --> q) --> ⊥) --> u) --> ⊥) --> y)) --> ⊥)) --> ⊥) --> ⊥),39
12,(Box(!(((x && y) || Box(q)))) <-> !(Diamond(x))),(((Box((((((x --> (y --> ⊥)) --> ⊥) --> ⊥) --> Box(q)) --> ⊥)) --> ((Box((x --> ⊥)) --> ⊥) --> ⊥)) --> ((((Box((x --> ⊥)) --> ⊥) --> ⊥) --> Box((((((x --> (y --> ⊥)) --> ⊥) --> ⊥) --> Box(q)) --> ⊥))) --> ⊥)) --> ⊥),53
12,((!(r) <-> ((z && v) --> r)) || (x --> z)),((((((r --> ⊥) --> (((z --> (v --> ⊥)) --> ⊥) --> r)) --> (((((z --> (v --> ⊥)) --> ⊥) --> r) --> (r --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (x --> z)),37
12,(((⊥ <-> z) || (t && ⊥)) || (⊥ <-> !(z))),(((((((⊥ --> z) --> ((z --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((t --> (⊥ --> ⊥)) --> ⊥)) --> ⊥) --> (((⊥ --> (z --> ⊥)) --> (((z --> ⊥) --> ⊥) --> ⊥)) --> ⊥)),39
12,!(((u && ⊥) && (Box(q) <-> (x && Box(p))))),(((((u --> (⊥ --> ⊥)) --> ⊥) --> ((((Box(q) --> ((x --> (Box(p) --> ⊥)) --> ⊥)) --> ((((x --> (Box(p) --> ⊥)) --> ⊥) --> Box(q)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥),41
12,Box((⊥ <-> !(((!(s) && t) --> !(!(⊥)))))),Box((((⊥ --> (((((s --> ⊥) --> (t --> ⊥)) --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥)) --> (((((((s --> ⊥) --> (t --> ⊥)) --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥)),44
12,(z <-> ((y || ⊥) --> (x || (v --> !(x))))),(((z --> (((y --> ⊥) --> ⊥) --> ((x --> ⊥) --> (v --> (x --> ⊥))))) --> (((((y --> ⊥) --> ⊥) --> ((x --> ⊥) --> (v --> (x --> ⊥)))) --> z) --> ⊥)) --> ⊥),39
12,((Diamond(Box(w)) || z) || (⊥ || (Box(⊥) || ⊥))),(((((Box((Box(w) --> ⊥)) --> ⊥) --> ⊥) --> z) --> ⊥) --> ((⊥ --> ⊥) --> ((Box(⊥) --> ⊥) --> ⊥))),24
12,(⊥ <-> (Box(Diamond((q <-> w))) --> Box(!(!(q))))),(((⊥ --> (Box((Box(((((q --> w) --> ((w --> q) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> Box(((q --> ⊥) --> ⊥)))) --> (((Box((Box(((((q --> w) --> ((w --> q) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> Box(((q --> ⊥) --> ⊥))) --> ⊥) --> ⊥)) --> ⊥),57
12,((u && w) --> !(((u || r) --> (⊥ || w)))),(((u --> (w --> ⊥)) --> ⊥) --> ((((u --> ⊥) --> r) --> ((⊥ --> ⊥) --> w)) --> ⊥)),21
12,(((y --> Box(⊥)) --> (s && y)) --> Diamond(!(⊥))),(((y --> Box(⊥)) --> ((s --> (y --> ⊥)) --> ⊥)) --> (Box(((⊥ --> ⊥) --> ⊥)) --> ⊥)),21
12,(Diamond((Diamond((p && p)) && Box(!(y)))) --> !(⊥)),((Box(((((Box((((p --> (p --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (Box((y --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (⊥ --> ⊥)),30
12,(⊥ --> !(((Box(u) <-> Box(!(u))) <-> Diamond(s)))),(⊥ --> (((((((Box(u) --> Box((u --> ⊥))) --> ((Box((u --> ⊥)) --> Box(u)) --> ⊥)) --> ⊥) --> (Box((s --> ⊥)) --> ⊥)) --> (((Box((s --> ⊥)) --> ⊥) --> (((Box(u) --> Box((u --> ⊥))) --> ((Box((u --> ⊥)) --> Box(u)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥)),61
13,((Diamond(p) <-> (!(⊥) || (!(x) <-> s))) <-> Box(w)),(((((((Box((p --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> ⊥) --> ((((x --> ⊥) --> s) --> ((s --> (x --> ⊥)) --> ⊥)) --> ⊥))) --> (((((⊥ --> ⊥) --> ⊥) --> ((((x --> ⊥) --> s) --> ((s --> (x --> ⊥)) --> ⊥)) --> ⊥)) --> (Box((p --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> Box(w)) --> ((Box(w) --> ((((Box((p --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> ⊥) --> ((((x --> ⊥) --> s) --> ((s --> (x --> ⊥)) --> ⊥)) --> ⊥))) --> (((((⊥ --> ⊥) --> ⊥) --> ((((x --> ⊥) --> s) --> ((s --> (x --> ⊥)) --> ⊥)) --> ⊥)) --> (Box((p --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),133
13,(((Diamond(Diamond(w)) <-> (⊥ --> !(p))) <-> s) || Diamond(v)),(((((((((Box(((Box((w --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (⊥ --> (p --> ⊥))) --> (((⊥ --> (p --> ⊥)) --> (Box(((Box((w --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> s) --> ((s --> ((((Box(((Box((w --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (⊥ --> (p --> ⊥))) --> (((⊥ --> (p --> ⊥)) --> (Box(((Box((w --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (Box((v --> ⊥)) --> ⊥)),96
13,(Box((Box(z) <-> (Diamond(r) --> !(y)))) || Diamond(!(s))),((Box((((Box(z) --> ((Box((r --> ⊥)) --> ⊥) --> (y --> ⊥))) --> ((((Box((r --> ⊥)) --> ⊥) --> (y --> ⊥)) --> Box(z)) --> ⊥)) --> ⊥)) --> ⊥) --> (Box(((s --> ⊥) --> ⊥)) --> ⊥)),43
13,((!((⊥ <-> Box(!((t <-> p))))) && w) <-> Diamond(⊥)),(((((((((⊥ --> Box(((((t --> p) --> ((p --> t) --> ⊥)) --> ⊥) --> ⊥))) --> ((Box(((((t --> p) --> ((p --> t) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> (w --> ⊥)) --> ⊥) --> (Box((⊥ --> ⊥)) --> ⊥)) --> (((Box((⊥ --> ⊥)) --> ⊥) --> ((((((⊥ --> Box(((((t --> p) --> ((p --> t) --> ⊥)) --> ⊥) --> ⊥))) --> ((Box(((((t --> p) --> ((p --> t) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> (w --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),109
13,(!(Diamond(v)) <-> (Diamond((v && v)) --> Diamond((s <-> ⊥)))),(((((Box((v --> ⊥)) --> ⊥) --> ⊥) --> ((Box((((v --> (v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (Box(((((s --> ⊥) --> ((⊥ --> s) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ((((Box((((v --> (v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (Box(((((s --> ⊥) --> ((⊥ --> s) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ((Box((v --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥),81
13,(q <-> (Diamond(Diamond(Box(Box((x && (r <-> w)))))) <-> q)),(((q --> ((((Box(((Box((Box(Box(((x --> ((((r --> w) --> ((w --> r) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> q) --> ((q --> (Box(((Box((Box(Box(((x --> ((((r --> w) --> ((w --> r) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ((((((Box(((Box((Box(Box(((x --> ((((r --> w) --> ((w --> r) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> q) --> ((q --> (Box(((Box((Box(Box(((x --> ((((r --> w) --> ((w --> r) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> q) --> ⊥)) --> ⊥),143
13,((x <-> (v --> q)) --> !(!((Box(t) <-> !(⊥))))),((((x --> (v --> q)) --> (((v --> q) --> x) --> ⊥)) --> ⊥) --> (((((Box(t) --> (⊥ --> ⊥)) --> (((⊥ --> ⊥) --> Box(t)) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)),37
13,((⊥ --> ⊥) && ((!(y) <-> (⊥ <-> !(s))) || y)),(((⊥ --> ⊥) --> (((((((y --> ⊥) --> (((⊥ --> (s --> ⊥)) --> (((s --> ⊥) --> ⊥) --> ⊥)) --> ⊥)) --> (((((⊥ --> (s --> ⊥)) --> (((s --> ⊥) --> ⊥) --> ⊥)) --> ⊥) --> (y --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> y) --> ⊥)) --> ⊥),55
13,!(!((((⊥ || !(p)) <-> Diamond(!(v))) && !(y)))),(((((((((⊥ --> ⊥) --> (p --> ⊥)) --> (Box(((v --> ⊥) --> ⊥)) --> ⊥)) --> (((Box(((v --> ⊥) --> ⊥)) --> ⊥) --> ((⊥ --> ⊥) --> (p --> ⊥))) --> ⊥)) --> ⊥) --> ((y --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ⊥),49
13,((Box((⊥ && u)) || (Diamond(⊥) <-> Box(q))) && !(⊥)),((((Box(((⊥ --> (u --> ⊥)) --> ⊥)) --> ⊥) --> ((((Box((⊥ --> ⊥)) --> ⊥) --> Box(q)) --> ((Box(q) --> (Box((⊥ --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥),42
13,!((!(Diamond(s)) <-> (!(q) --> (q --> Box(Box(v)))))),((((((Box((s --> ⊥)) --> ⊥) --> ⊥) --> ((q --> ⊥) --> (q --> Box(Box(v))))) --> ((((q --> ⊥) --> (q --> Box(Box(v)))) --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),43
13,((Box(v) && t) || (r || Diamond((⊥ <-> (w && u))))),((((Box(v) --> (t --> ⊥)) --> ⊥) --> ⊥) --> ((r --> ⊥) --> (Box(((((⊥ --> ((w --> (u --> ⊥)) --> ⊥)) --> ((((w --> (u --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))),43
13,(x --> ((t && Box(Diamond(y))) || ((⊥ <-> v) && t))),(x --> ((((t --> (Box((Box((y --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> (((((⊥ --> v) --> ((v --> ⊥) --> ⊥)) --> ⊥) --> (t --> ⊥)) --> ⊥))),35
13,((p && (w && x)) || (Diamond(p) --> (t || !(p)))),((((p --> (((w --> (x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((Box((p --> ⊥)) --> ⊥) --> ((t --> ⊥) --> (p --> ⊥)))),30
13,(⊥ <-> ((t && r) || (Box(y) || (p && Diamond(y))))),(((⊥ --> ((((t --> (r --> ⊥)) --> ⊥) --> ⊥) --> ((Box(y) --> ⊥) --> ((p --> ((Box((y --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)))) --> ((((((t --> (r --> ⊥)) --> ⊥) --> ⊥) --> ((Box(y) --> ⊥) --> ((p --> ((Box((y --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ⊥) --> ⊥)) --> ⊥),63
13,((z || (q --> p)) <-> ((⊥ || !(s)) --> Box(u))),(((((z --> ⊥) --> (q --> p)) --> (((⊥ --> ⊥) --> (s --> ⊥)) --> Box(u))) --> (((((⊥ --> ⊥) --> (s --> ⊥)) --> Box(u)) --> ((z --> ⊥) --> (q --> p))) --> ⊥)) --> ⊥),41
13,((Box((Box(⊥) && !(Box(!(x))))) || ⊥) || Box(w)),((((Box(((Box(⊥) --> ((Box((x --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> ⊥) --> Box(w)),23
13,(Diamond(⊥) --> (q --> (⊥ && (Diamond((t --> z)) && ⊥)))),((Box((⊥ --> ⊥)) --> ⊥) --> (q --> ((⊥ --> ((((Box(((t --> z) --> ⊥)) --> ⊥) --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))),29
13,!((⊥ || ((!(Box(z)) && (y || x)) && !(v)))),(((⊥ --> ⊥) --> (((((Box(z) --> ⊥) --> (((y --> ⊥) --> x) --> ⊥)) --> ⊥) --> ((v --> ⊥) --> ⊥)) --> ⊥)) --> ⊥),28
13,(v --> (((q --> w) <-> (p --> v)) && (t --> ⊥))),(v --> ((((((q --> w) --> (p --> v)) --> (((p --> v) --> (q --> w)) --> ⊥)) --> ⊥) --> ((t --> ⊥) --> ⊥)) --> ⊥)),29
13,(Diamond(Box((!(⊥) --> ⊥))) --> !(Box((w && Diamond(t))))),((Box((Box(((⊥ --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> (Box(((w --> ((Box((t --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)),27
13,((v --> w) --> (Diamond(Diamond(q)) --> (!(⊥) && Box(q)))),((v --> w) --> ((Box(((Box((q --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> (Box(q) --> ⊥)) --> ⊥))),26
13,(⊥ <-> Box(((Diamond((u --> ⊥)) <-> (⊥ <-> ⊥)) --> w))),(((⊥ --> Box((((((Box(((u --> ⊥) --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥)) --> (((((⊥ --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥) --> (Box(((u --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> w))) --> ((Box((((((Box(((u --> ⊥) --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥)) --> (((((⊥ --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ⊥) --> (Box(((u --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> w)) --> ⊥) --> ⊥)) --> ⊥),105
13,!((((q || (⊥ --> t)) || !(Diamond(w))) --> Diamond(v))),((((((q --> ⊥) --> (⊥ --> t)) --> ⊥) --> ((Box((w --> ⊥)) --> ⊥) --> ⊥)) --> (Box((v --> ⊥)) --> ⊥)) --> ⊥),27
13,(!(Diamond((Box((⊥ --> Box(⊥))) --> Box(v)))) --> Box(s)),(((Box(((Box((⊥ --> Box(⊥))) --> Box(v)) --> ⊥)) --> ⊥) --> ⊥) --> Box(s)),18
13,(((q || !(⊥)) --> Diamond(x)) --> (!(w) --> Box(x))),((((q --> ⊥) --> (⊥ --> ⊥)) --> (Box((x --> ⊥)) --> ⊥)) --> ((w --> ⊥) --> Box(x))),21
13,(Diamond(Box((!(⊥) && (⊥ || Box(⊥))))) --> Diamond(!(⊥))),((Box((Box((((⊥ --> ⊥) --> (((⊥ --> ⊥) --> Box(⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> (Box(((⊥ --> ⊥) --> ⊥)) --> ⊥)),29
14,(r || (((Diamond(u) <-> ⊥) <-> (⊥ || ⊥)) <-> Diamond(Box(q)))),((r --> ⊥) --> ((((((((((Box((u --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> (Box((u --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ((((⊥ --> ⊥) --> ⊥) --> ((((Box((u --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> (Box((u --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> (Box((Box(q) --> ⊥)) --> ⊥)) --> (((Box((Box(q) --> ⊥)) --> ⊥) --> (((((((Box((u --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> (Box((u --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ((⊥ --> ⊥) --> ⊥)) --> ((((⊥ --> ⊥) --> ⊥) --> ((((Box((u --> ⊥)) --> ⊥) --> ⊥) --> ((⊥ --> (Box((u --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥)),143
14,((z <-> (s <-> Box(⊥))) <-> (!(w) || Box((⊥ --> s)))),((((((z --> (((s --> Box(⊥)) --> ((Box(⊥) --> s) --> ⊥)) --> ⊥)) --> (((((s --> Box(⊥)) --> ((Box(⊥) --> s) --> ⊥)) --> ⊥) --> z) --> ⊥)) --> ⊥) --> (((w --> ⊥) --> ⊥) --> Box((⊥ --> s)))) --> (((((w --> ⊥) --> ⊥) --> Box((⊥ --> s))) --> (((z --> (((s --> Box(⊥)) --> ((Box(⊥) --> s) --> ⊥)) --> ⊥)) --> (((((s --> Box(⊥)) --> ((Box(⊥) --> s) --> ⊥)) --> ⊥) --> z) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥),97
14,!(((z <-> t) <-> (!(⊥) || Diamond((⊥ && (u && w)))))),(((((((z --> t) --> ((t --> z) --> ⊥)) --> ⊥) --> (((⊥ --> ⊥) --> ⊥) --> (Box((((⊥ --> (((u --> (w --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> (((((⊥ --> ⊥) --> ⊥) --> (Box((((⊥ --> (((u --> (w --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> (((z --> t) --> ((t --> z) --> ⊥)) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),79
14,(⊥ <-> (!((!(u) && (u --> y))) <-> (r && Diamond(s)))),(((⊥ --> (((((((u --> ⊥) --> ((u --> y) --> ⊥)) --> ⊥) --> ⊥) --> ((r --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ((((r --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ((((u --> ⊥) --> ((u --> y) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥)) --> (((((((((u --> ⊥) --> ((u --> y) --> ⊥)) --> ⊥) --> ⊥) --> ((r --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ((((r --> ((Box((s --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ((((u --> ⊥) --> ((u --> y) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥) --> ⊥)) --> ⊥),123
14,(Box(((Box(w) <-> r) --> x)) || Diamond((r <-> (t || ⊥)))),((Box(((((Box(w) --> r) --> ((r --> Box(w)) --> ⊥)) --> ⊥) --> x)) --> ⊥) --> (Box(((((r --> ((t --> ⊥) --> ⊥)) --> ((((t --> ⊥) --> ⊥) --> r) --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)),43
14,!((!(!(w)) <-> Box((!(Diamond((u && ⊥))) && Diamond(z))))),((((((w --> ⊥) --> ⊥) --> Box(((((Box((((u --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((Box((z --> ⊥)) --> ⊥) --> ⊥)) --> ⊥))) --> ((Box(((((Box((((u --> (⊥ --> ⊥)) --> ⊥) --> ⊥)) --> ⊥) --> ⊥) --> ((Box((z --> ⊥)) --> ⊥) --> ⊥)) --> ⊥)) --> ((w --> ⊥) --> ⊥)) --> ⊥)) --> ⊥) --> ⊥),71
14,(Box(!(!(x))) <-> ((t || (⊥ || u)) --> (⊥ <-> r))),(((Box(((x --> ⊥) --> ⊥)) --> (((t --> ⊥) --> ((⊥ --> ⊥) --> u)) --> (((⊥ --> r) --> ((r --> ⊥) --> ⊥)) --> ⊥))) --> (((((t --> ⊥) --> ((⊥ --> ⊥) --> u)) --> (((⊥ --> r) --> ((r --> ⊥) --> ⊥)) --> ⊥)) --> Box(((x --> ⊥) --> ⊥))) --> ⊥)) --> ⊥),61
14,((⊥ || (x --> (⊥ <-> v))) <-> Box(Diamond((Diamond(⊥) || q)))),(((((⊥ --> ⊥) --> (x --> (((⊥ --> v) --> ((v --> ⊥) --> ⊥)) --> ⊥))) --> Box((Box(((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> q) --> ⊥)) --> ⊥))) --> ((Box((Box(((((Box((⊥ --> ⊥)) --> ⊥) --> ⊥) --> q) --> ⊥)) --> ⊥)) --> ((⊥ --> ⊥) --> (x --> (((⊥ --> v) --> ((v --> ⊥) --> ⊥)) --> ⊥)))) --> ⊥)) --> ⊥),73
